N1,N2,N3,N4,N5,N6
Plankton_crustacea,Copepoda,Gymnoplea,Calanoida,Acertiidae,
Plankton_crustacea,Copepoda,Gymnoplea,Calanoida,Aetideidae,Euchirella
Plankton_crustacea,Copepoda,Gymnoplea,Calanoida,Augaptilidae,Haloptilus
Plankton_crustacea,Copepoda,Gymnoplea,Calanoida,Calanidae,
Plankton_crustacea,Copepoda,Gymnoplea,Calanoida,Calocalanus,Calocalanus_pavo
Plankton_crustacea,Copepoda,Gymnoplea,Calanoida,Candaciidae,
Plankton_crustacea,Copepoda,Gymnoplea,Calanoida,Centropagidae,
Plankton_crustacea,Copepoda,Gymnoplea,Calanoida,Eucalanidae,
Plankton_crustacea,Copepoda,Gymnoplea,Calanoida,Euchaetidae,
Plankton_crustacea,Copepoda,Gymnoplea,Calanoida,Pontellidae,
Plankton_crustacea,Copepoda,Gymnoplea,Calanoida,Rhincalanidae,
Plankton_crustacea,Copepoda,Gymnoplea,Calanoida,Temoridae,
Plankton_crustacea,Copepoda,Gymnoplea,Calanoida,Calanoida_other,
Plankton_crustacea,Copepoda,Podoplea,Cyclopoida,Corycaeidae,
Plankton_crustacea,Copepoda,Podoplea,Cyclopoida,Oithonidae,
Plankton_crustacea,Copepoda,Podoplea,Cyclopoida,Oncaeidae,
Plankton_crustacea,Copepoda,Podoplea,Cyclopoida,Sapphrinidae,Copilia
Plankton_crustacea,Copepoda,Podoplea,Cyclopoida,Sapphrinidae,Sapphrinidae_other
Plankton_crustacea,Copepoda,Podoplea,Harpacticoida,,
Plankton_crustacea,Crustacea_other,Branchiopoda,Onychopoda,Evadne,
Plankton_crustacea,Crustacea_other,Branchiopoda,Onychopoda,Podon,
Plankton_crustacea,Crustacea_other,Branchiopoda,Ctenopoda,Penilia,
Plankton_crustacea,Crustacea_other,Malacostraca,Decapoda,Anomura_zoea,
Plankton_crustacea,Crustacea_other,Malacostraca,Decapoda,Brachyura_zoea,
Plankton_crustacea,Crustacea_other,Malacostraca,Decapoda,Decapoda_other_zoaea,
Plankton_crustacea,Crustacea_other,Malacostraca,Decapoda,Decapoda_megalopa,
Plankton_crustacea,Crustacea_other,Malacostraca,Decapoda,Luciferidae,
Plankton_crustacea,Crustacea_other,Malacostraca,Euphasiacea,Euphasiacea_calyptopis,
Plankton_crustacea,Crustacea_other,Malacostraca,Malacostraca_other,,
Plankton_crustacea,Crustacea_other,Malacostraca,Amphipoda,Senticaudata,
Plankton_crustacea,Crustacea_other,Malacostraca,Amphipoda,Hyperiidae,Oxycephalidae
Plankton_crustacea,Crustacea_other,Malacostraca,Amphipoda,Hyperiidae,Phronimidae
Plankton_crustacea,Crustacea_other,Malacostraca,Amphipoda,Hyperiidae,Platyscelidae
Plankton_crustacea,Crustacea_other,Malacostraca,Amphipoda,Hyperiidae,Vibiliidae
Plankton_crustacea,Crustacea_other,Malacostraca,Isopoda,,
Plankton_crustacea,Crustacea_other,Malacostraca,Stomatopoda,,
Plankton_crustacea,Crustacea_other,Ostracoda,,,
Plankton_dark,Mollusca,Bivalvia,Bivalvia_larva,Bivalvia_veliger,
Plankton_dark,Mollusca,Cephalopoda,Cephalopoda_planktonic,,
Plankton_dark,Mollusca,Gastropoda,Pteropoda,Limacinidae,
Plankton_dark,Mollusca,Gastropoda,Pteropoda,Cavoliniidae,
Plankton_dark,Mollusca,Gastropoda,Pteropoda,Creseideae,Creseis_acicula
Plankton_dark,Mollusca,Gastropoda,Pteropoda,Creseideae,Creseis_conica
Plankton_dark,Mollusca,Gastropoda,Pteropoda,Creseideae,Creseis_virgula
Plankton_dark,Annelida,Polychaeta,Phyllodocida,Tomopteridae,
Plankton_dark,Annelida,Annelida_adult,,,
Plankton_dark,Annelida,Annelida_larva,,,
Plankton_dark,Vertebrata,Actinopterygii,Actinopterygii_larva,Actinopterygii_alevin,
Plankton_dark,Vertebrata,Actinopterygii,Actinopterygii_larva,Actinopterygii_fry_type1,
Plankton_dark,Vertebrata,Actinopterygii,Actinopterygii_larva,Actinopterygii_fry_type2,
Plankton_gelatinous,Tunicata,Thaliacea,Salpida,Salpidae,
Plankton_gelatinous,Tunicata,Thaliacea,Pyrosomatida,Pyrosomatidae,
Plankton_gelatinous,Tunicata,Thaliacea,Doliolida,,
Plankton_gelatinous,Tunicata,Appendicularia,Copelata,Oikopleuridae,
Plankton_gelatinous,Tunicata,Appendicularia,Copelata,Fritillariidae,
Plankton_gelatinous,Tunicata,Appendicularia,Appendicularia_tail,,
Plankton_gelatinous,Chaetognatha,Sagittoidae,Aphragmophora,Krohnittidae,
Plankton_gelatinous,Chaetognatha,Sagittoidae,Aphragmophora,Sagittidae,
Plankton_gelatinous,Chaetognatha,Sagittoidae,Phragmophora,Eukroniidae,
Plankton_gelatinous,Chaetognatha,Chaetognatha_head,,,
Plankton_gelatinous,Chaetognatha,Chaetognatha_tail,,,
Plankton_gelatinous,Ctenophora,,,,
Plankton_gelatinous,Cnidaria,Scyphozoa,Scyphozoa_ephyra,,
Plankton_gelatinous,Cnidaria,Scyphozoa,Scyphozoa_medusa,,
Plankton_gelatinous,Cnidaria,Hydrozoa,Siphonophorae,Abylidae,Abylopsis_tetragona_eudoxie
Plankton_gelatinous,Cnidaria,Hydrozoa,Siphonophorae,Abylidae,Abylopsis_tetragona_gonophore
Plankton_gelatinous,Cnidaria,Hydrozoa,Siphonophorae,Abylidae,Abylopsis_tetragona_nectophore
Plankton_gelatinous,Cnidaria,Hydrozoa,Siphonophorae,Diphydae,Diphydae_eudoxie
Plankton_gelatinous,Cnidaria,Hydrozoa,Siphonophorae,Diphydae,Diphydae_gobophore
Plankton_gelatinous,Cnidaria,Hydrozoa,Siphonophorae,Diphydae,Diphydae_nectophore
Plankton_gelatinous,Cnidaria,Hydrozoa,Siphonophorae,Physonectae,Physonectae_nectophore
Plankton_gelatinous,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Obelia
Plankton_gelatinous,Cnidaria,Hydrozoa,Trachymedusae,Rhopalonematidae,Aglaura
Plankton_small,Egg_Small_larva,Small_larva,Echinoidea_pluteus,,
Plankton_small,Egg_Small_larva,Small_larva,Ophiuroidea_pluteus,,
Plankton_small,Egg_Small_larva,Small_larva,Crustacea_small_larva,Crustacea_metanauplius,
Plankton_small,Egg_Small_larva,Small_larva,Crustacea_small_larva,Crustacea_nauplius,
Plankton_small,Egg_Small_larva,Small_larva,Crustacea_small_larva,Cirripedia_nauplius,
Plankton_small,Egg_Small_larva,Small_larva,Crustacea_small_larva,Cirripedia_cypris,
Plankton_small,Egg_Small_larva,Small_larva,Bryozoa_Cyphonautes,,
Plankton_small,Egg_Small_larva,Egg,Mollusca_egg,,
Plankton_small,Egg_Small_larva,Egg,Actinopterygii_egg,Actinopterygii_egg_stage1,
Plankton_small,Egg_Small_larva,Egg,Actinopterygii_egg,Actinopterygii_egg_stage2,
Plankton_small,Egg_Small_larva,Egg,Actinopterygii_egg,Actinopterygii_egg_stage3,
Plankton_small,Egg_Small_larva,Egg,Actinopterygii_egg,Actinopterygii_egg_stage4,
Plankton_small,Egg_Small_larva,Egg,Actinopterygii_egg,Actinopterygii_egg_stage5,
Plankton_small,Egg_Small_larva,Egg,Egg_other,,
Plankton_small,Chromista,Bacillariophyceae,Coscinodiscales,Coscinodiscus,
Plankton_small,Chromista,Dinophyceae,Gonyaulacales,Ceratium,
Plankton_small,Chromista,Dinophyceae,Noctilucales,Noctiluca,
Plankton_small,Chromista,Rhizaria,Cercozoa,Thecofilosea,
Plankton_small,Chromista,Rhizaria,Foraminifera,Nodosariata,
Plankton_small,Chromista,Rhizaria,Radiozoa,Acantharia,
Plankton_small,Chromista,Rhizaria,Radiozoa,Polycystina,
alter,artefact,bad_threshold,part,Actinopterygii_scale,
alter,artefact,bad_threshold,part,Copepoda_part,
alter,artefact,bad_threshold,multiple,Copepoda_multiple,
alter,artefact,bad_threshold,multiple,multiple_other,
alter,artefact,bad_threshold,shadow,,
alter,artefact,thin_artefact,scratch,,
alter,artefact,thin_artefact,fiber,,
alter,artefact,bubble,,,
alter,alter_other,tripton_etc,bad_focus,Copepoda_bad_focus,
alter,alter_other,tripton_etc,bad_focus,bad_focus_other,
alter,alter_other,tripton_etc,tripton,,
alter,alter_other,benthos,seaweed_fragment,,
alter,alter_other,benthos,benthos_other,,
alter,alter_other,terrestrial,microplastic,,
alter,alter_other,terrestrial,pollen,,
alter,alter_other,terrestrial,insecta,,
